Player,Added/Removed,Count,Cumulative_Minutes,Cumulative_NETRTG
D. Clingan,Added,2,249,96.1
T. Eason,Added,3,739,81.80000000000001
J. Strawther,Added,2,238,77.19999999999999
N. Alexander-Walker,Removed,1,63,71.6
R. Dunn,Added,2,184,66.6
L. Ball,Added,2,289,66.0
D. Jones Jr.,Removed,5,638,63.800000000000004
D. Avdija,Removed,1,106,58.7
R. Gobert,Removed,2,537,56.599999999999994
C. Kispert,Removed,1,46,53.2
N. Alexander-Walker,Added,2,912,53.2
A. Nembhard,Removed,2,652,52.7
S. Fontecchio,Added,1,114,49.5
S. Dinwiddie,Removed,1,54,49.0
R. O'Neale,Added,1,45,47.6
A. Edwards,Removed,1,105,46.6
S. Mykhailiuk,Added,1,163,42.8
J. Morant,Removed,1,76,42.5
A. Reaves,Removed,1,72,42.1
D. Avdija,Added,1,100,42.099999999999994
C. Kispert,Added,1,181,41.1
T. Thompson,Added,1,43,40.400000000000006
A. Green,Removed,1,75,38.7
J. Murray,Added,1,64,38.3
L. Dort,Removed,1,226,38.2
P. Watson,Added,1,206,37.9
K. George,Removed,1,46,37.7
N. Powell,Added,1,95,36.8
M. McBride,Added,4,3022,36.7
N. Jović,Added,1,81,36.7
J. Jaquez Jr.,Added,1,58,36.4
J. Smith Jr.,Added,1,156,36.3
J. Butler,Added,1,76,35.8
H. Highsmith,Added,1,53,35.5
K. Ellis,Added,2,679,34.5
D. Robinson,Added,1,83,34.3
O. Agbaji,Added,1,71,33.8
W. Carter Jr.,Added,1,77,33.6
D. Finney-Smith,Added,1,151,32.9
J. Tatum,Removed,1,164,32.2
D. Russell,Removed,1,68,31.6
A. Coffey,Added,1,200,31.5
R. Westbrook,Added,1,116,31.299999999999997
J. Holiday,Removed,1,190,30.6
D. DiVincenzo,Added,2,861,25.299999999999997
N. Reid,Added,2,946,25.2
K. Towns,Removed,2,1374,20.7
K. Leonard,Added,2,267,17.0
A. Thompson,Added,3,1069,16.1
C. Payne,Added,2,1527,15.600000000000001
J. Tate,Added,1,380,13.3
K. Huerter,Added,1,385,12.7
D. Booker,Removed,2,152,12.0
D. Brooks,Removed,1,342,11.0
J. Smith Jr.,Removed,2,761,6.300000000000001
J. Brunson,Removed,2,1523,5.699999999999999
J. Suggs,Removed,2,164,0.9000000000000021
A. Black,Added,2,164,-0.9000000000000021
J. Hart,Removed,1,763,-3.5999999999999996
M. Conley,Removed,2,776,-8.6
J. Sims,Added,1,677,-10.0
P. Achiuwa,Added,1,697,-10.7
O. Anunoby,Removed,1,762,-10.9
M. Conley,Added,2,240,-12.100000000000001
D. Fox,Removed,1,385,-12.7
K. Murray,Removed,1,345,-15.7
M. Monk,Removed,1,334,-18.799999999999997
S. Henderson,Added,2,245,-22.5
T. McConnell,Added,1,331,-25.8
J. Walker,Added,1,321,-26.9
N. Queta,Added,1,190,-30.6
A. Dosunmu,Removed,1,72,-31.2
K. Porziņģis,Added,1,164,-32.2
R. Hachimura,Removed,1,151,-32.9
T. da Silva,Removed,1,77,-33.6
G. Dick,Removed,1,71,-33.8
J. Giddey,Removed,1,217,-34.8
N. Jović,Removed,1,53,-35.5
J. Grant,Removed,1,139,-36.2
J. Butler,Removed,1,58,-36.4
H. Highsmith,Removed,1,81,-36.7
B. Carrington,Added,1,46,-37.7
I. Joe,Added,1,226,-38.2
J. Murray,Removed,1,190,-38.4
K. Middleton,Added,1,75,-38.7
P. Watson,Removed,1,48,-38.8
J. McDaniels,Removed,1,499,-40.0
E. Mobley,Removed,1,43,-40.400000000000006
N. Batum,Added,1,56,-40.900000000000006
K. Kuzma,Removed,1,181,-41.1
S. Pippen Jr.,Added,1,76,-42.5
L. Markkanen,Removed,1,163,-42.8
M. Bridges,Removed,2,1501,-43.5
F. VanVleet,Removed,2,553,-45.900000000000006
B. Beal,Added,1,61,-47.0
T. Mann,Removed,1,53,-48.4
Q. Grimes,Added,1,54,-49.0
T. Hardaway Jr.,Removed,1,114,-49.5
K. Kuzma,Added,1,46,-53.2
J. Randle,Added,1,64,-56.3
K. Dunn,Added,1,73,-59.8
J. Jaquez Jr.,Removed,2,159,-70.1
J. McDaniels,Added,1,63,-71.6
D. Knecht,Added,2,140,-73.7
B. Beal,Removed,2,138,-79.2
J. Randle,Removed,3,1106,-89.9
C. Braun,Removed,3,386,-107.5
J. Green,Removed,3,688,-118.9
D. Ayton,Removed,3,349,-138.2
